Subject Code,Course Number,Name,Description,Dept Code,Dept Description
A A E,1,Cooperative Education/Co-op in Agricultural & Applied Economics,Full-time off-campus work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career. Students receive credit only for the term in which they are actively enrolled and working. The same work experience may not count towards credit in A A E 399.  ,108,AGRICULTURAL AND APPLIED ECON
A A E,215,Introduction to Agricultural and Applied Economics,"Introduction to economic ways of thinking about a wide range of problems and issues. Topics include consumption, production, prices, markets, finance, trade, pollution, growth, farms, taxes, and development.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,244,The Environment and the Global Economy,"The 'economic way of thinking' about global and regional environmental issues. Topics include climate change, biodiversity preservation, ocean fisheries, environmental impacts of international trade, poverty and the environment, and sustainability.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,246,Climate Change Economics and Policy,"Climate change and the role of applied economics in related policy analysis and research. Economics of mitigation, adaptation and geo-engineering; integrated assessment; environmental implications of energy use; climate change impacts on land use. Use of economic analysis and modeling for public policy design.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,299,Independent Study,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,306,The Real Estate Process,"Introductory survey course. Decision-making processes for the manufacture, marketing, management and financing of real estate space. Survey of institutional context, economics of urbanization, historical pattern and structure of city growth, and public policy issues regarding urban environment and business management.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,319,The International Agricultural Economy,"The nature of trade in agricultural products, trade policies and practices of importing and exporting nations, agricultural policies of major trading blocks, market instability and other primary commodity problems, recent history and current developments in multilateral trade policy.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,320,Farming Systems Management,"Methods of economic analysis, planning and management applied to conventional and alternative farming systems.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,322,Commodity Markets,"Principles and practices in marketing systems for U.S. agricultural commodities. Vertical organization; forward contracts, future markets, agricultural options and price formation. Alternate management at the farm, processor, wholesale and retail levels.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,323,Cooperatives,"Cooperatives: Analysis of basic principles, structure and organization, legal bases, finance, history and role in U.S. economy. Different types and uses as tools in the U.S. and developing countries.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,340,Issues in Food Systems,"With primary emphasis on the U.S., the course covers social, economic and biological dimensions of food systems. Using classroom and community experience, the course combines academic approaches with practitioner knowledge. A community project is required.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,343,Environmental Economics,"Microeconomic principles underlying the use of natural resources such as air, water, forests, fisheries, minerals and energy. These principles are applied in the examination of pollution control, preservation vs. development, deforestation, and other environmental issues.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,350,World Hunger and Malnutrition,"Hunger and poverty in developing countries and the United States. Topics include: nutrition and health, population, food production and availability, and income distribution and employment.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,373,"Globalization, Poverty and Development","Addresses the process of globalization -- trade, international capital flows, labor migration and remittances, and aid -- from the perspective of developing economies and the development process.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,374,The Growth and Development of Nations in the Global Economy,"This course explores the roles of markets, states, and civil institutions, using economic theory, computer simulations, and historical experience to better understand the forces that shape the wealth and well-being of nations and people around the world.",108,AGRICULTURAL AND APPLIED ECONOMICS
A A E,375,Special Topics,None provided.,108,AGRICULTURAL AND APPLIED ECONOMICS
